,제목,tag,story_tag
1254,(더빙) 가면라이더 이그제이드 트루엔딩,히어로,"액션, SF"
1255,라바 시즌 2,발랄가볍,개그
1256,라바 인 뉴욕(시즌 3),발랄가볍,개그
1257,핑구 시즌 6,nan,nan
1258,두근두근 캠퍼스,nan,"로맨스, BL, 학교, 여성향"
1259,그라부룻!,전사,"마법, 판타지, 액션, 개그"
1260,(자막) 루팡 3세 PART 5,"탐정, 먼치킨","두뇌싸움, 비밀조직, 서양풍, 추리, 범죄"
1261,포켓몬스터 XY MEGA EVOLUTION -최강 메가진화- Act1,nan,"우정, 성장, 배틀, 판타지, 액션, 아동"
1262,신 도라에몽 7기,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1263,(자막) 라디앙,발랄가볍,"성장, 마법, 판타지, 액션"
1264,신 도라에몽 2기,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1265,극장판 시도니아의 기사,"외계인, 로봇, 군인, 전사","전쟁, 무거움, 철학, 액션, SF, 재난"
1266,최강합체 믹스마스터,발랄가볍,"우정, 배틀, 이세계, 판타지, 액션, 아동, SF, 상상의 장소"
1267,카드왕 믹스마스터,발랄가볍,"우정, 배틀, 이세계, 판타지, 액션, 아동, SF, 상상의 장소"
1268,(자막) 토리코 part 2,"이능력, 열혈, 헌터","배틀, 판타지, 액션, 개그, 음식"
1269,"신비아파트 외전 기억, 하리","요괴 및 괴물, 귀신, 발랄가볍","판타지, 액션, 아동, 공포, 학교"
1270,(무삭제) 풀 메탈 패닉! IV : Invisible Victory,"로봇, 교복","전쟁, 액션, 개그, SF, 학교"
1271,신 테니스의 왕자 : BEST GAMES!! VOL.2,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
1272,메갈로 복스 2 : NOMAD,nan,"무거움, 액션, SF, 스포츠"
1273,나는 100만명의 목숨 위에 서 있다 2기,nan,"이세계, 게임, 판타지"
1274,카오스 차일드,nan,"살인, 무거움, 철학, 판타지, 로맨스, 추리, 마을"
1275,메탈파이트 베이블레이드 4D (3기),nan,"배틀, 경쟁, 대회, 게임, 판타지, 액션, 아동, 스포츠, 경기장"
1276,극장판 옷코는 초등학생 사장님!,nan,"성장, 가족, 감동, 아동, 일상, 마을"
1277,소녀전선 미니극장 - 광란편,발랄가볍,"개그, 마을"
1278,크로스 게임 part 3,nan,"성장, 로맨스, 스포츠, 드라마"
1279,문 뒤에 지옥이 있다,nan,"미스터리, 공포"
1280,(더빙) 빨간머리 앤: 네버엔딩스토리,"주체적 여성, 발랄가볍, 귀여움","가족, 감동, 일상, 시대물"
