,제목,tag,story_tag
744,극장판 짱구는 못말려 13기 : 부리부리 3분 대진격,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
745,극장판 나루토 질풍전 2기 : 인연,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
746,(자막) 명탐정 코난 16기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 추리, 범죄, 학교"
747,테니스의 왕자 part 2,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
748,3D 그녀 리얼 걸 시즌2,"오타쿠, 발랄가볍","로맨스, 학교"
749,ARIA The NATURAL,nan,"성장, 감동, 일상, 치유, 마을, 바다"
750,사쿠라다 리셋,"이능력, 기억상실","감동, 철학, 판타지"
751,(더빙) 프리파라 3기,"연예인, 발랄가볍, 아이돌","우정, 아동, 음악"
752,(더빙) 원피스 5기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
753,ARIA The ORIGINATION,nan,"성장, 감동, 일상, 치유, 마을, 바다"
754,(더빙) 프리파라 2기 part 1,"연예인, 발랄가볍, 아이돌","우정, 아동, 음악"
755,(더빙) 최유기 RELOAD BLAST,"요괴 및 괴물, 전사","무거움, 판타지, 액션, 시대물, 사후세계"
756,슬레이어즈 NEXT,주체적 여성,"서양풍, 판타지, 액션, 개그"
757,아이돌 마스터 신데렐라 걸즈 극장,"미소녀, 연예인, 발랄가볍, 아이돌","우정, 성장, 감동, 일상, 음악, 학교"
758,(더빙) 원피스 10기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
759,B-PROJECT ~절정*이모션~,"연예인, 발랄가볍, 아이돌","우정, 공연장"
760,스트라이크 더 블러드 3기,"미소녀, 뱀파이어, 발랄가볍, 교복, 먼치킨","마법, 판타지, 액션"
761,(더빙) 갓 오브 하이스쿨,"이능력, 먼치킨","배틀, 경쟁, 판타지, 액션, 무협, 경기장"
762,요괴소년 호야 1기,"요괴 및 괴물, 이능력, 열혈","우정, 성장, 동양풍, 퇴마, 무거움, 판타지, 액션, 개그, 사후세계"
763,여신 기숙사의 사감군,nan,"판타지, 개그, 로맨스, 하렘"
764,엔드로~!,"미소녀, 발랄가볍","감동, 판타지, 일상, 치유, 상상의 장소"
765,(자막) 드래곤 퀘스트 : 다이의 대모험 part 1,전사,"마법, 판타지, 액션"
766,(자막) 최유기 RELOAD BLAST,"요괴 및 괴물, 전사","무거움, 판타지, 액션, 시대물, 사후세계"
767,짱구는 못말려 15기 : 폭풍을 부르는 노래하는 엉덩이 폭탄!,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
768,아라카와 언더 더 브리지 1기,"열혈, 외계인","개그, 로맨스, SF, 마을, 드라마"
769,극장판 블러드 C : 더 라스트 다크,"요괴 및 괴물, 주체적 여성, 전사, 먼치킨","무거움, 철학, 판타지, 액션, SF, 공포"
770,(더빙) 마당을 나온 암탉 - 배리어프리,동물,"성장, 가족, 육아, 감동, 슬픔, 자연, 농촌, 배리어프리"
771,최유기 외전 OVA,"요괴 및 괴물, 전사","무거움, 판타지, 액션, 시대물, 사후세계"
772,한때는 신이었던 짐승들에게,nan,"무거움, 판타지, 액션, 마을"
773,울려라! 유포니엄 1부 ~키타우지 고교 관악부에 오신 걸 환영합니다~ - 판권 부활,교복,"우정, 성장, 대회, 동아리, 무거움, 음악, 학교, 공연장, 드라마"
774,극장판 12기 포켓몬스터 DP: 아르세우스 초극의 시공으로,발랄가볍,"우정, 성장, 배틀, 판타지, 액션"
775,마왕님 리트라이!,nan,"이세계, 판타지, 액션, 자연"
776,하카타 돈코츠 라멘즈,"탐정, 미소년","액션, 추리, 미스터리, 범죄, 마을"
777,마사무네의 리벤지 - 판권 부활,nan,"복수, 개그, 로맨스, 하렘, 학교"
778,(더빙) 프리파라 2기 part 2,"연예인, 발랄가볍, 아이돌","우정, 아동, 음악"
779,뒤떨어진 후르츠 타르트,"미소녀, 발랄가볍, 아이돌","일상, 개그, 학교"
780,(더빙) 내 이야기!!,교복,"우정, 감동, 개그, 로맨스, 치유, 학교"
781,(자막) 명탐정 코난 15기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 추리, 범죄, 학교"
782,경계의 저편 : 미래편 - 판권 부활,"요괴 및 괴물, 귀여움, 먼치킨","감동, 판타지, 액션, 일상, 개그, 로맨스, 학교"
783,(더빙) 토리코 2기,"이능력, 열혈, 헌터","배틀, 판타지, 액션, 개그, 음식"
784,(더빙) 디지몬 어드벤처 라스트 에볼루션 : 인연,nan,"우정, 성장, 배틀, 이세계, 판타지, 액션, 아동, 상상의 장소"
785,공전마도사 후보생의 교관,"미소녀, 이능력, 먼치킨","성장, 판타지, 액션, 하렘, 학교, 상상의 장소"
786,카부키모노가타리,"미소녀, 요괴 및 괴물, 뱀파이어","판타지, 개그, 하렘, 미스터리"
787,역경무뢰 카이지 시즌 2 part 1,nan,"게임, 두뇌싸움, 무거움, 철학, 범죄, 스릴러, 경기장"
788,코이모노가타리,"미소녀, 요괴 및 괴물, 뱀파이어","판타지, 개그, 하렘, 미스터리"
789,플런더러,nan,"판타지, 액션, 상상의 장소, 남성향"
790,노 건즈 라이프 part 1,nan,"무거움, 액션, SF, 범죄"
791,드래곤볼 Z 3기,"열혈, 먼치킨, 카리스마","성장, 경쟁, 대회, 판타지, 액션, 마을, 경기장"
792,(더빙) 원피스 6기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
793,(더빙) 원피스: 에피소드 오브 메리 ~또 하나의 동료 이야기~,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
794,3D 그녀 리얼 걸,"오타쿠, 발랄가볍","로맨스, 학교"
795,(더빙) 원피스 12기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
796,(자막) 명탐정 코난 : 감청의 권,"탐정, 먼치킨","두뇌싸움, 비밀조직, 추리, 범죄, 학교"
797,극장판 원피스 11기: 밀짚모자 체이스,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
798,(더빙) 원피스 9기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
799,울려라! 유포니엄 3부 ~맹세의 피날레~,교복,"우정, 성장, 대회, 동아리, 무거움, 음악, 학교, 공연장, 드라마"
800,BanG Dream! 걸파☆피코 곱빼기,"미소녀, 발랄가볍, 아이돌","성장, 동아리, 감동, 일상, 개그, 음악, 학교, 공연장"
801,걸즈 앤 판처 최종장,"미소녀, 싸우는 미소녀, 귀여움","우정, 성장, 액션, 학교"
802,유녀전기 OVA,먼치킨,"마법, 전쟁, 서양풍, 환생, 무거움, 판타지, 액션, 상상의 장소"
803,극장판 8기 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,발랄가볍,"우정, 성장, 배틀, 판타지, 액션"
804,메이저 세컨드 시즌 2,nan,"우정, 성장, 경쟁, 대회, 스포츠, 학교, 경기장"
805,던전에서 만남을 추구하면 안 되는 걸까 III OVA,발랄가볍,"성장, 마법, 판타지, 액션, 하렘, 상상의 장소"
806,마장학원 HxH,nan,"전쟁, 판타지, 액션, 개그, SF, 학교"
807,신극장판 드래곤볼 슈퍼 : 브로리,"열혈, 먼치킨, 카리스마","성장, 경쟁, 대회, 판타지, 액션, 마을, 경기장"
808,(더빙) 원피스 13기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
809,테니스의 왕자 part 3,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
810,(더빙) 소년탐정 김전일 Original 2기,"탐정, 먼치킨","두뇌싸움, 살인, 무거움, 추리, 범죄, 스릴러, 학교"
811,신 테니스의 왕자,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
812,이종족 리뷰어스,nan,"판타지, 상상의 장소, 남성향"
813,(더빙) 원피스 8기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
814,요괴 아파트의 우아한 일상,"요괴 및 괴물, 귀신","판타지, 일상, 개그, 집"
815,소라의 날개 part 1,nan,"우정, 성장, 동아리, 감동, 무거움, 스포츠, 학교, 경기장"
816,극장판 포켓몬스터 너로 정했다!,nan,"우정, 성장, 배틀, 판타지, 액션, 아동"
817,(자막) 명탐정 코난 18기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
818,ARGONAVIS from BanG Dream!,"발랄가볍, 미소년, 아이돌","성장, 감동, 일상, 음악, 공연장"
819,최근 여동생의 상태가 조금 이상한데,"귀신, 발랄가볍","판타지, 개그, 로맨스, 집"
820,네코모노가타리 : 백,"미소녀, 요괴 및 괴물, 뱀파이어","판타지, 개그, 하렘, 미스터리"
821,포켓몬스터 XY 1기&2기,nan,"우정, 성장, 배틀, 판타지, 액션, 아동"
822,붉은 돼지,군인,"감동, 판타지, 액션, 시대물"
823,(더빙) 괴도 키드 스페셜,"도둑, 탐정, 먼치킨","두뇌싸움, 비밀조직, 복수, 액션, 추리, 미스터리, 범죄, 학교"
824,(더빙) 나의 히어로 아카데미아 5기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
825,(더빙) 원피스 11기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
826,짱구는 못말려 17기 : 포효하라! 떡잎 야생왕국,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
827,(더빙) 토리코 3기,"이능력, 열혈, 헌터","배틀, 판타지, 액션, 개그, 음식"
828,베르사유의 장미,"주체적 여성, 군인, 카리스마","전쟁, 정치, 서양풍, 감동, 무거움, 슬픔, 로맨스, 시대물, 왕궁 및 성"
829,네코모노가타리 : 흑 - 판권 부활,"미소녀, 요괴 및 괴물, 뱀파이어","판타지, 개그, 하렘, 미스터리"
830,(자막) 꼬마마법사 레미 포르테 : 개구리 바위의 비밀,"마법소녀, 발랄가볍","성장, 마법, 감동, 판타지, 아동, 일상, 학교, 마을"
831,(더빙) 원피스 7기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
832,베리베리 뮤우뮤우,"미소녀, 마법소녀, 발랄가볍","판타지, 액션"
833,극장판 5기 포켓몬스터: 물의 도시의 수호신 라티아스와 라티오스,발랄가볍,"우정, 성장, 배틀, 판타지, 액션"
834,체조 사무라이,nan,"성장, 스포츠, 경기장, 드라마"
835,달의 요정 세일러 문 Sailor Stars,"미소녀, 마법소녀, 싸우는 미소녀, 교복","판타지, 액션, 개그, 로맨스, 학교"
836,아이실드 21 part 1,nan,"성장, 경쟁, 대회, 액션, 개그, 스포츠, 학교, 경기장"
837,문호와 알케미스트 : 심판의 톱니바퀴,미소년,"환생, 판타지, 액션, 여성향"
838,오토리모노가타리,"미소녀, 요괴 및 괴물, 뱀파이어","판타지, 개그, 하렘, 미스터리"
839,(더빙) 원피스 22기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
840,(무삭제) 이세계는 스마트폰과 함께,"발랄가볍, 먼치킨","마법, 이세계, 환생, 판타지, 개그, 하렘, 상상의 장소"
841,마기아 레코드 : 마법소녀 마도카☆마기카 외전 세컨드 시즌,"미소녀, 마법소녀","우정, 마법, 무거움, 판타지, 액션, 학교, 마을, 상상의 장소"
842,아르슬란 전기 2기 : 풍진난무,nan,"전쟁, 정치, 판타지, 액션, 시대물, 왕궁 및 성"
843,기동전사 건담 유니콘 RE:0096,로봇,"배틀, 정치, 무거움, 철학, 액션, SF"
844,(더빙) 나소흑전기 : 첫만남편,요괴 및 괴물,"마법, 판타지, 액션"
845,극장판 11기 포켓몬스터 DP: 기라티나와 하늘의 꽃다발 쉐이미,발랄가볍,"우정, 성장, 배틀, 판타지, 액션"
846,오니모노가타리,"미소녀, 요괴 및 괴물, 뱀파이어","판타지, 개그, 하렘, 미스터리"
847,드래곤볼 Z 1기,"열혈, 먼치킨, 카리스마","성장, 경쟁, 대회, 판타지, 액션, 마을, 경기장"
848,짱구는 못말려 23기 : 나의 이사 이야기 선인장 대습격,"발랄가볍, 귀여움","가족, 감동, 판타지, 일상, 개그, 학교, 집, 회사"
849,고스트 메신저,귀신,"퇴마, 무거움, 몽환, 판타지, 액션, 사후세계"
850,짱구는 못말려 19기 : 태풍을 부르는 황금 스파이 대작전,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
851,(더빙) 블랙 클로버 1기,열혈,"성장, 경쟁, 마법, 판타지, 액션"
852,짱구는 못말려 20기 : 폭풍을 부르는 나와 우주의 프린세스,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
853,(더빙) 포켓몬스터W,nan,"우정, 성장, 배틀, 판타지, 액션, 아동"
854,(더빙) 킹 오브 프리즘,"연예인, 발랄가볍, 아이돌","우정, 경쟁, 감동, 음악, 경기장, 공연장"
855,파도여 들어다오,nan,"개그, 음악, 상점, 남성향, 드라마"
856,테니스의 왕자 part 4,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
857,신세기 사이버 포뮬러 SIN,자동차,"경쟁, 철학, 액션, SF, 스포츠, 경기장"
858,신이 된 날,nan,"감동, 슬픔, 판타지, 로맨스"
859,우마욘,"미소녀, 동물, 발랄가볍","우정, 감동, 개그"
860,(자막) 헌터X헌터: 더 라스트 미션,"이능력, 헌터, 먼치킨","성장, 배틀, 두뇌싸움, 무거움, 판타지, 액션, 상상의 장소, 경기장"
861,달의 요정 세일러 문 SuperS,"미소녀, 마법소녀, 싸우는 미소녀, 교복","판타지, 액션, 개그, 로맨스, 학교"
862,기동전사 건담 디 오리진 1 : 푸른 눈의 캬스발,로봇,"배틀, 정치, 무거움, 철학, 액션, SF"
863,울려라! 유포니엄 2부 ~전하고 싶은 멜로디~,교복,"우정, 성장, 대회, 동아리, 무거움, 음악, 학교, 공연장, 드라마"
864,테니스의 왕자 part 5,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
865,신만이 아는 세계 2기 - 판권 부활,"악마 또는 천사, 오타쿠, 교복, 미소년, 먼치킨","게임, 판타지, 개그, 로맨스, 하렘, 학교, 집, 사후세계, 회사"
866,아이★츄,"발랄가볍, 아이돌","성장, 음악, 학교, 공연장"
867,(자막) 이누야샤 1기,요괴 및 괴물,"경쟁, 판타지, 액션, 개그, 로맨스, 시대물"
868,(더빙) 토리코 1기 part 1 - 판권 부활,"이능력, 열혈, 헌터","배틀, 판타지, 액션, 개그, 음식"
869,IDOLY PRIDE,"연예인, 발랄가볍, 아이돌","성장, 충격의 1화, 음악"
870,쵸비츠,"미소녀, 귀여움","로맨스, SF"
871,(자막) 극장판 나루토 : 대흥분! 초승달 섬의 애니멀 소동,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
872,(더빙) 프리파라 : 모두 모여라! 프리즘☆투어즈,"연예인, 발랄가볍, 아이돌","우정, 아동, 음악"
873,신 테니스의 왕자 OVA : vs Genius 10,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
874,테니스의 왕자 part 6,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
875,(더빙) 원피스: 에피소드 오브 나미 ~항해사의 눈물과 동료의 인연~,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
876,테니스의 왕자 part 7,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
877,(자막) 원피스 스탬피드,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
878,한밤의 오컬트 공무원 OVA,"요괴 및 괴물, 귀신","판타지, 액션, 공포, 마을"
879,(더빙) 킹 오브 프리즘 : 프라이드 더 히어로,"연예인, 발랄가볍, 아이돌","우정, 경쟁, 감동, 음악, 경기장, 공연장"
880,신비아파트 : 고스트볼의 비밀,"요괴 및 괴물, 귀신, 발랄가볍","판타지, 액션, 아동, 공포"
881,(자막) 꼬마마법사 레미 샵,"마법소녀, 발랄가볍","성장, 마법, 감동, 판타지, 아동, 일상, 학교, 마을"
882,데블즈라인,뱀파이어,"무거움, 판타지, 액션, 로맨스, 미스터리, 범죄, 스릴러"
883,(더빙) 소년탐정 김전일 Original 3기,"탐정, 먼치킨","두뇌싸움, 살인, 무거움, 추리, 범죄, 스릴러, 학교"
884,(더빙) 페어리 테일 11기,nan,"우정, 성장, 배틀, 마법, 판타지, 액션"
885,(더빙) 포켓몬스터 썬&문,nan,"우정, 성장, 배틀, 판타지, 액션, 아동"
886,검정고무신 1기,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 시대물, 학교, 집"
887,극장판 13기 포켓몬스터 DP: 환영의 패왕 조로아크,발랄가볍,"우정, 성장, 배틀, 판타지, 액션"
888,TIGER & BUNNY - 판권 부활,"히어로, 이능력","판타지, 액션, SF"
889,마나리아 프렌즈,nan,"마법, 전쟁, 판타지, 액션, 학교, 상상의 장소"
890,아이돌 마스터 신데렐라 걸즈 극장 3기,"미소녀, 연예인, 발랄가볍, 아이돌","우정, 성장, 감동, 일상, 개그, 음악, 학교"
891,킹 오브 프리즘 : 올 스타즈 프리즘 쇼☆베스트 10,"연예인, 발랄가볍, 아이돌","우정, 경쟁, 감동, 음악, 경기장, 공연장"
